,movieid,title,year,romance,sci-fi,animation,film-noir,musical,adventure,thriller,horror,documentary,fantasy,mystery,children,comedy,crime,western,imax,war,drama,action,average_rating,num_ratings
294,318,"Shawshank Redemption, The",1994.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.429022082018927,317
745,922,Sunset Blvd. (a.k.a. Sunset Boulevard),1950.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.333333333333333,27
722,898,"Philadelphia Story, The",1940.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.310344827586207,29
969,1204,Lawrence of Arabia,1962.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,4.3,45
436,475,In the Name of the Father,1993.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.3,25
220,246,Hoop Dreams,1994.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.293103448275862,29
700,858,"Godfather, The",1972.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.2890625,192
999,1235,Harold and Maude,1971.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.288461538461538,26
9451,168252,Logan,2017.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.28,25
2345,2959,Fight Club,1999.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,4.272935779816514,218
1042,1276,Cool Hand Luke,1967.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.271929824561403,57
637,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4.268041237113402,97
728,904,Rear Window,1954.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.261904761904762,84
986,1221,"Godfather: Part II, The",1974.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.25968992248062,129
6422,48516,"Departed, The",2006.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4.252336448598131,107
977,1213,Goodfellas,1990.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.25,126
736,912,Casablanca,1942.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.24,100
6808,58559,"Dark Knight, The",2008.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,4.238255033557047,149
48,50,"Usual Suspects, The",1995.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4.237745098039215,204
961,1197,"Princess Bride, The",1987.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,4.232394366197183,142
235,260,Star Wars: Episode IV - A New Hope,1977.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.231075697211155,251
748,926,All About Eve,1950.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.229166666666667,24
976,1212,"Third Man, The",1949.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.229166666666667,24
485,527,Schindler's List,1993.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.225,220
2584,3275,"Boondock Saints, The",2000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,4.22093023255814,43
972,1208,Apocalypse Now,1979.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4.219626168224299,107
758,933,To Catch a Thief,1955.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4.217391304347826,23
1842,2329,American History X,1998.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.217054263565892,129
960,1196,Star Wars: Episode V - The Empire Strikes Back,1980.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2156398104265405,211
997,1233,"Boot, Das (Boat, The)",1981.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4.2125,40
1015,1252,Chinatown,1974.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4.211864406779661,59
962,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),1981.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2075,200
958,1193,One Flew Over the Cuckoo's Nest,1975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.203007518796992,133
885,1089,Reservoir Dogs,1992.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4.202290076335878,131
273,296,Pulp Fiction,1994.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,4.197068403908795,307
2052,2571,"Matrix, The",1999.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.192446043165468,278
752,930,Notorious,1946.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.190476190476191,21
753,65810,Notorious,2009.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.190476190476191,21
1514,1945,On the Waterfront,1954.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.1875,24
